Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2024-05-01,33.568407,-86.854425,Birmingham,Alabama,Temperature dropped suddenly by 10°F.,Morning,Full-Body Apparition,
2024-05-28,28.834052,-81.435046,Orlando,Florida,Scent of old perfume noticed with no source.,Afternoon,Phantom Sounds,
2023-11-14,28.829039,-81.327238,Orlando,Florida,Old radio emitted static and a faint melody.,Night,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2021-04-26,30.346516,-97.971894,Austin,Texas,Electronic devices malfunctioned during sighting.,Morning,Orbs,
2023-02-25,33.57579,-86.418318,Birmingham,Alabama,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2023-07-01,28.560706,-81.230734,Orlando,Florida,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,
2021-12-03,41.750458,-87.397382,Chicago,Illinois,Scent of old perfume noticed with no source.,Midnight,Full-Body Apparition,
2022-06-23,32.349001,-90.242688,Jackson,Mississippi,Disembodied voice whispered a name.,Morning,Shadow Figure,
2022-05-02,32.755689,-96.98125,Dallas,Texas,Local dog barking frantically before sighting.,Morning,Orbs,
2025-09-21,30.691202,-87.875402,Mobile,Alabama,Local dog barking frantically before sighting.,Midnight,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2023-04-25,29.936533,-90.277463,New Orleans,Louisiana,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2024-01-18,33.025722,-97.215531,Dallas,Texas,Local dog barking frantically before sighting.,Evening,Headless Spirit,
2024-08-28,42.964294,-88.202867,Milwaukee,Wisconsin,Figure disappeared upon approach.,Dawn,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2022-08-29,30.210179,-97.801686,Austin,Texas,Scent of old perfume noticed with no source.,Morning,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2023-12-05,40.016039,-83.31186,Columbus,Ohio,Witness captured blurry image on phone.,Night,Orbs,
2021-04-08,29.693948,-97.630207,Austin,Texas,Electronic devices malfunctioned during sighting.,Afternoon,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2025-03-17,41.684583,-88.06214,Chicago,Illinois,Scent of old perfume noticed with no source.,Afternoon,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-01-25,39.97786,-82.969906,Columbus,Ohio,Apparition matched description of local legend.,Morning,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2023-07-31,42.656377,-88.175953,Milwaukee,Wisconsin,Witness captured blurry image on phone.,Night,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2021-05-31,41.143983,-89.568297,Peoria,Illinois,Curtains moved though windows were shut.,Morning,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2023-02-16,45.024156,-93.450265,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Midnight,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2021-12-27,32.142834,-90.133026,Jackson,Mississippi,Local dog barking frantically before sighting.,Midnight,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2022-11-26,39.742988,-83.242423,Columbus,Ohio,Figure disappeared upon approach.,Midnight,Orbs,
2021-07-08,33.70913,-87.081426,Birmingham,Alabama,Glowing orb photographed in backyard.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2023-04-08,30.252565,-91.164696,Baton Rouge,Louisiana,Apparition seen floating near old church grounds.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2024-12-15,41.404045,-81.422837,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,
2023-11-17,30.330034,-97.427402,Austin,Texas,Local dog barking frantically before sighting.,Night,Orbs,
2021-10-31,41.640801,-87.364372,Chicago,Illinois,Witness reported cold spots and flickering lights.,Midnight,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2021-01-17,41.202628,-95.70723,Omaha,Nebraska,Figure disappeared upon approach.,Midnight,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2024-03-15,30.201634,-90.287716,New Orleans,Louisiana,Figure disappeared upon approach.,Night,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2024-10-21,41.468326,-93.956956,Des Moines,Iowa,Scent of old perfume noticed with no source.,Night,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2022-07-27,36.436542,-115.083294,Las Vegas,Nevada,Temperature dropped suddenly by 10°F.,Morning,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2024-04-10,29.462328,-98.542231,San Antonio,Texas,Figure disappeared upon approach.,Evening,Poltergeist,
2021-07-07,37.699602,-97.551846,Wichita,Kansas,Scent of old perfume noticed with no source.,Night,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2023-10-09,25.984399,-80.161535,Miami,Florida,Glowing orb photographed in backyard.,Dawn,Shadow Figure,
2024-05-06,28.604001,-81.359868,Orlando,Florida,Glowing orb photographed in backyard.,Morning,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2024-07-05,39.724605,-86.148547,Indianapolis,Indiana,Witness captured blurry image on phone.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-09-14,30.268955,-91.353265,Baton Rouge,Louisiana,Apparition seen floating near old church grounds.,Afternoon,Full-Body Apparition,
2023-08-18,40.8,-89.656238,Peoria,Illinois,Figure disappeared upon approach.,Dawn,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2021-10-28,41.975855,-87.866598,Chicago,Illinois,Old radio emitted static and a faint melody.,Evening,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2025-07-02,30.300533,-97.872217,Austin,Texas,Flickering streetlamp coincided with sighting.,Midnight,Orbs,
2020-12-20,29.341846,-98.497139,San Antonio,Texas,Figure disappeared upon approach.,Night,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2021-10-07,44.754902,-93.625075,Minneapolis,Minnesota,Phantom footsteps heard in empty hallway.,Night,Poltergeist,
2022-09-18,29.889289,-89.509139,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Night,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2024-05-10,44.778516,-93.449992,Minneapolis,Minnesota,Scent of old perfume noticed with no source.,Morning,Full-Body Apparition,
2021-12-26,33.51895,-86.950762,Birmingham,Alabama,Figure disappeared upon approach.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2021-04-05,41.30817,-95.783945,Omaha,Nebraska,Disembodied voice whispered a name.,Evening,Full-Body Apparition,
2022-11-01,33.769749,-87.092904,Birmingham,Alabama,Glowing orb photographed in backyard.,Morning,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2023-01-23,29.825456,-90.123888,New Orleans,Louisiana,Temperature dropped suddenly by 10°F.,Dawn,Orbs,
2021-11-08,45.030976,-93.215246,Minneapolis,Minnesota,Glowing orb photographed in backyard.,Evening,Headless Spirit,
2021-07-20,32.620568,-96.861849,Dallas,Texas,Local dog barking frantically before sighting.,Evening,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2021-09-08,29.905664,-89.930378,New Orleans,Louisiana,Glowing orb photographed in backyard.,Evening,Shadow Figure,
2023-01-07,30.025894,-89.871504,New Orleans,Louisiana,Disembodied voice whispered a name.,Dawn,White Lady,
2021-01-23,39.116711,-105.553866,Denver,Colorado,Glowing orb photographed in backyard.,Evening,Poltergeist,
2024-03-12,38.848825,-90.174092,St. Louis,Missouri,Witness reported cold spots and flickering lights.,Morning,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-02-26,39.863649,-83.148519,Columbus,Ohio,Scent of old perfume noticed with no source.,Morning,White Lady,
2025-06-11,39.854124,-82.943965,Columbus,Ohio,Disembodied voice whispered a name.,Night,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2021-11-19,25.525654,-80.178196,Miami,Florida,Witness reported cold spots and flickering lights.,Afternoon,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-08-09,28.655367,-81.300187,Orlando,Florida,Old radio emitted static and a faint melody.,Night,White Lady,
2023-03-17,32.826711,-96.410666,Dallas,Texas,Curtains moved though windows were shut.,Night,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2022-04-25,27.865013,-82.190084,Tampa,Florida,Electronic devices malfunctioned during sighting.,Morning,Phantom Sounds,
2024-05-21,39.764993,-86.110071,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Midnight,Shadow Figure,
2024-02-06,39.538139,-86.061811,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2024-06-03,30.017107,-90.164051,New Orleans,Louisiana,Curtains moved though windows were shut.,Evening,Phantom Sounds,
2023-05-08,28.204919,-81.987122,Orlando,Florida,Apparition seen floating near old church grounds.,Midnight,Poltergeist,
2024-10-20,29.456219,-98.564176,San Antonio,Texas,Old radio emitted static and a faint melody.,Evening,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2023-02-08,30.206854,-90.230905,New Orleans,Louisiana,Electronic devices malfunctioned during sighting.,Evening,Headless Spirit,
2025-04-13,42.828651,-87.907353,Milwaukee,Wisconsin,Apparition matched description of local legend.,Morning,Orbs,
2021-12-14,29.950827,-89.934984,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Midnight,White Lady,
2021-06-15,40.866453,-74.426985,New York,New York,Old radio emitted static and a faint melody.,Afternoon,Orbs,
2022-06-14,29.858942,-95.435903,Houston,Texas,Figure disappeared upon approach.,Dawn,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2023-12-07,41.165833,-95.911501,Omaha,Nebraska,Temperature dropped suddenly by 10°F.,Morning,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2023-06-27,39.716908,-86.33942,Indianapolis,Indiana,Scent of old perfume noticed with no source.,Midnight,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2021-05-26,37.685852,-97.217089,Wichita,Kansas,Figure disappeared upon approach.,Midnight,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2025-06-05,36.375024,-115.412548,Las Vegas,Nevada,Glowing orb photographed in backyard.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2024-08-04,32.56201,-97.05366,Dallas,Texas,Disembodied voice whispered a name.,Midnight,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2025-07-27,32.450804,-90.351879,Jackson,Mississippi,Temperature dropped suddenly by 10°F.,Midnight,Phantom Sounds,
2023-06-12,41.493731,-81.675876,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,
2024-11-13,32.544805,-90.285342,Jackson,Mississippi,Witness captured blurry image on phone.,Dawn,Full-Body Apparition,
2023-01-31,29.582063,-95.249161,Houston,Texas,Glowing orb photographed in backyard.,Night,White Lady,
2020-10-20,40.788261,-89.65574,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Morning,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2024-03-26,28.368533,-81.074164,Orlando,Florida,Scent of old perfume noticed with no source.,Morning,Full-Body Apparition,
2020-11-17,29.603146,-90.292022,New Orleans,Louisiana,Phantom footsteps heard in empty hallway.,Night,White Lady,
2023-03-07,41.042775,-96.030676,Omaha,Nebraska,Curtains moved though windows were shut.,Evening,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2020-12-06,39.787065,-85.813418,Indianapolis,Indiana,Old radio emitted static and a faint melody.,Night,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2023-07-27,39.869834,-83.411303,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,
2023-11-15,29.924302,-95.178016,Houston,Texas,Scent of old perfume noticed with no source.,Morning,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2021-09-06,25.663471,-80.209744,Miami,Florida,Phantom footsteps heard in empty hallway.,Night,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2024-03-31,29.564184,-98.411872,San Antonio,Texas,Flickering streetlamp coincided with sighting.,Midnight,Headless Spirit,
2020-11-30,43.144049,-88.099963,Milwaukee,Wisconsin,Local dog barking frantically before sighting.,Night,Full-Body Apparition,
2025-05-07,29.45798,-98.533798,San Antonio,Texas,Glowing orb photographed in backyard.,Dawn,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2025-03-07,32.296847,-90.298485,Jackson,Mississippi,Old radio emitted static and a faint melody.,Dawn,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2025-07-27,33.594858,-86.652663,Birmingham,Alabama,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2022-10-03,41.806705,-87.533721,Chicago,Illinois,Figure disappeared upon approach.,Midnight,Headless Spirit,
2023-08-03,28.59434,-81.253868,Orlando,Florida,Apparition matched description of local legend.,Dawn,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2024-04-22,29.947406,-95.098766,Houston,Texas,Witness captured blurry image on phone.,Evening,Headless Spirit,
2024-11-05,42.098637,-87.841578,Chicago,Illinois,Apparition seen floating near old church grounds.,Night,Full-Body Apparition,
2024-04-30,36.048234,-115.319527,Las Vegas,Nevada,Witness captured blurry image on phone.,Evening,Poltergeist,
2023-09-20,40.090997,-75.022131,Philadelphia,Pennsylvania,Apparition matched description of local legend.,Evening,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2020-11-18,39.93386,-82.97142,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2024-02-16,31.713612,-90.170562,Jackson,Mississippi,Old radio emitted static and a faint melody.,Afternoon,White Lady,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2021-12-06,28.456282,-81.487294,Orlando,Florida,Old radio emitted static and a faint melody.,Dawn,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2022-02-09,29.28921,-98.654921,San Antonio,Texas,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,
2024-01-29,44.883018,-93.112751,Minneapolis,Minnesota,Flickering streetlamp coincided with sighting.,Dawn,Orbs,
2023-09-06,39.810298,-86.39152,Indianapolis,Indiana,Local dog barking frantically before sighting.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2021-03-18,26.132962,-80.438931,Miami,Florida,Disembodied voice whispered a name.,Dawn,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2021-07-03,38.592056,-90.19038,St. Louis,Missouri,Glowing orb photographed in backyard.,Dawn,Headless Spirit,
2023-09-06,30.585927,-97.82008,Austin,Texas,Apparition seen floating near old church grounds.,Night,Shadow Figure,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2021-12-18,41.370028,-81.644003,Cleveland,Ohio,Disembodied voice whispered a name.,Midnight,Orbs,
2025-08-04,25.863892,-80.099899,Miami,Florida,Apparition matched description of local legend.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2023-02-17,32.222058,-90.305961,Jackson,Mississippi,Curtains moved though windows were shut.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2024-01-10,29.563196,-98.30111,San Antonio,Texas,Witness captured blurry image on phone.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2021-12-21,41.694891,-81.395682,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,White Lady,
2022-01-22,42.95648,-88.667916,Milwaukee,Wisconsin,Apparition seen floating near old church grounds.,Night,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2023-03-31,43.208612,-87.858085,Milwaukee,Wisconsin,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,
2022-02-12,38.235658,-89.647734,St. Louis,Missouri,Flickering streetlamp coincided with sighting.,Morning,Orbs,
2025-03-21,40.120634,-83.067818,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Headless Spirit,
2025-01-10,29.50119,-98.464486,San Antonio,Texas,Old radio emitted static and a faint melody.,Midnight,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2020-11-08,41.928238,-87.385717,Chicago,Illinois,Glowing orb photographed in backyard.,Evening,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2024-12-02,41.227912,-89.576443,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,
